#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
,"
Asia
77,Saudi Arabia,"829,478",+90,"9,615                                ",,"816,729",+44,"3,134",34,"23,141",268,"45,144,125","1,259,429","35,844,909 ",Asia,43,"3,728",1,3,,87,2023-02-28
78,Azerbaijan,"828,548",+36,"10,119                                ",+2,"818,281",+43,148,,"80,440",982,"7,524,850","730,553","10,300,205 ",Asia,12,"1,018",1,3,0.2,14,2023-02-28
79,Paraguay,"808,327",,"19,870                                ",,N/A,N/A,N/A,7,"110,641","2,720","2,657,506","363,751","7,305,843 ",South America,9,368,3,,,"12,338",2023-02-28
80,Bahrain,"707,480",+375,"1,548                                ",,"706,013",,-81,6,"396,573",868,"10,737,695","6,018,945","1,783,983 ",Asia,3,"1,152",0,210,,-45.40,2023-02-28
81,Sri Lanka,"672,030",+1,"16,830                                ",,"655,198",+1,2,,"31,147",780,"6,486,117","300,619","21,575,842 ",Asia,32,"1,282",3,0.05,,0.09,2023-02-28
82,Kuwait,"663,456",,"2,570                                ",,"660,237",,649,,"151,463",587,"8,455,743","1,930,391","4,380,326 ",Asia,7,"1,704",1,,,148,2023-02-28
83,Dominican Republic,"660,533",,"4,384                                ",,"644,785",,"11,364",4,"59,742",397,"3,740,928","338,350","11,056,370 ",North America,17,"2,522",3,,,"1,028",2023-02-28
84,Cyprus,"649,093",,"1,305                                ",,"642,855",,"4,933",60,"530,570","1,067","9,640,118","7,879,860","1,223,387 ",Asia,2,937,0,,,"4,032",2023-02-28
85,Myanmar,"633,918",+4,"19,490                                ",,"614,399",+1,29,,"11,478",353,"10,053,350","182,036","55,227,143 ",Asia,87,"2,834",5,0.07,,0.5,2023-02-28
86,Palestine,"621,008",,"5,404                                ",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541 ",Asia,9,989,2,,,30,2023-02-28
87,Estonia,"615,119",+271,"2,940                                ",+6,"524,990",,"87,189",3,"465,326","2,224","3,675,293","2,780,290","1,321,910 ",Europe,2,450,0,205,5,"65,957",2023-02-28
88,Moldova,"603,750",,"11,974                                ",,"504,142",,"87,634",49,"150,442","2,984","3,216,305","801,437","4,013,171 ",Europe,7,335,1,,,"21,837",2023-02-28
89,Venezuela,"551,981",,"5,853                                ",,"545,871",,257,36,"18,860",200,"3,359,014","114,771","29,266,991 ",South America,53,"5,000",9,,,9,2023-02-28
90,Egypt,"515,698",,"24,613                                ",,"442,182",,"48,903",122,"4,858",232,"3,693,367","34,792","106,156,692 ",Africa,206,"4,313",29,,,461,2023-02-28
91,Libya,"507,174",,"6,437                                ",,"500,734",,3,,"72,034",914,"2,483,676","352,758","7,040,745 ",Africa,14,"1,094",3,,,0.4,2023-02-28
92,Ethiopia,"499,986",+12,"7,572                                ",,"487,246",+10,"5,168",1,"4,139",63,"5,488,633","45,431","120,812,698 ",Africa,242,"15,955",22,0.10,,43,2023-02-28
93,Qatar,"494,167",+111,686                                ,,"493,016",,465,28,"165,833",230,"4,065,369","1,364,257","2,979,915 ",Asia,6,"4,344",1,37,,156,2023-02-28
94,Réunion,"486,588",,921                                ,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061 ",Africa,2,986,1,,,"73,888",2023-02-28
95,Honduras,"472,116",,"11,111                                ",,N/A,N/A,N/A,105,"46,190","1,087","1,633,222","159,787","10,221,247 ",North America,22,920,6,,,"32,135",2023-02-28
96,Armenia,"446,819",,"8,721                                ",,"435,162",,"2,936",,"150,345","2,934","3,242,901","1,091,164","2,971,966 ",Asia,7,341,1,,,988,2023-02-28
97,Bosnia and Herzegovina,"401,575",,"16,278                                ",,"379,084",,"6,213",,"123,588","5,010","1,884,721","580,036","3,249,317 ",Europe,8,200,2,,,"1,912",2023-02-28
98,Oman,"399,449",,"4,628                                ",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993 ",Asia,13,"1,150",0,,,"1,907",2023-02-28
99,North Macedonia,"346,852",,"9,662                                ",,"337,068",,122,,"166,651","4,642","2,226,216","1,069,626","2,081,304 ",Europe,6,215,1,,,59,2023-02-28
100,Zambia,"343,012",+48,"4,057                                ",,"338,660",+15,295,,"17,617",208,"3,934,010","202,053","19,470,234 ",Africa,57,"4,799",5,2,,15,2023-02-28
101,Kenya,"342,912",,"5,688                                ",,"337,198",,26,1,"6,100",101,"3,967,062","70,569","56,215,221 ",Africa,164,"9,883",14,,,0.5,2023-02-28
102,Albania,"334,391",+11,"3,596                                ",,"329,145",+5,"1,650",,"116,660","1,255","1,941,032","677,173","2,866,374 ",Europe,9,797,1,4,,576,2023-02-28
103,Botswana,"329,727",,"2,801                                ",,"326,868",,58,1,"135,070","1,147","2,026,898","830,300","2,441,162 ",Africa,7,872,1,,,24,2023-02-28
104,Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371 ",Europe,2,567,0,,,"11,883",2023-02-28
105,Montenegro,"288,280",+83,"2,804                                ",,"284,712",+108,764,6,"459,081","4,465","2,716,902","4,326,622","627,950 ",Europe,2,224,0,132,,"1,217",2023-02-28
106,Brunei ,"278,698",,225                                ,,"243,601",,"34,872",,"625,682",505,"717,784","1,611,437","445,431 ",Asia,2,"1,980",1,,,"78,288",2023-02-28
107,Algeria,"271,441",+1,"6,881                                ",,"182,793",+2,"81,767",,"5,985",152,"230,861","5,091","45,350,148 ",Africa,167,"6,591",196,0.02,,"1,803",2023-02-28
108,Nigeria,"266,593",,"3,155                                ",,"259,850",,"3,588",11,"1,230",15,"5,708,974","26,339","216,746,934 ",Africa,813,"68,700",38,,,17,2023-02-28
109,Zimbabwe,"263,921",,"5,663                                ",,"257,205",,"1,053",12,"17,214",369,"2,525,756","164,744","15,331,428 ",Africa,58,"2,707",6,,,69,2023-02-28
110,Uzbekistan,"250,932",,"1,637                                ",,"241,486",,"7,809",23,"7,298",48,"1,377,915","40,077","34,382,084 ",Asia,137,"21,003",25,,,227,2023-02-28
111,Mozambique,"233,098",,"2,242                                ",,"228,805",,"2,051",11,"7,044",68,"1,371,127","41,437","33,089,461 ",Africa,142,"14,759",24,,,62,2023-02-28
112,Martinique,"229,807",,"1,098                                ",,N/A,N/A,N/A,12,"614,314","2,935","828,928","2,215,870","374,087 ",North America,2,341,0,,,"611,101",2023-02-28
113,Laos,"218,015",,758                                ,,N/A,N/A,N/A,,"29,142",101,"1,233,207","164,845","7,481,023 ",Asia,34,"9,869",6,,,"28,017",2023-02-28
114,Afghanistan,"209,323",+17,"7,896                                ",,"191,011",+201,"10,416",45,"5,136",194,"1,200,420","29,455","40,754,388 ",Asia,195,"5,161",34,0.4,,256,2023-02-28
115,Iceland,"209,093",+94,229                                ,,N/A,N/A,N/A,2,"605,377",663,"1,996,384","5,780,036","345,393 ",Europe,2,"1,508",0,272,,"385,587",2023-02-28
116,Kyrgyzstan,"206,633",,"2,991                                ",,"196,406",,"7,236",131,"30,711",445,"1,907,195","283,460","6,728,271 ",Asia,33,"2,250",4,,,"1,075",2023-02-28
117,Guadeloupe,"201,852",,"1,010                                ",,N/A,N/A,N/A,19,"504,890","2,526","938,039","2,346,306","399,794 ",North America,2,396,0,,,"496,736",2023-02-28
118,El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389 ",North America,32,"1,549",3,,,"2,770",2023-02-28
119,Trinidad and Tobago,"189,296",+559,"4,347                                ",+8,"184,553",+190,396,8,"134,578","3,090","898,169","638,546","1,406,585 ",North America,7,324,2,397,6,282,2023-02-28
120,Maldives,"185,732",,311                                ,,"163,687",,"21,734",25,"343,322",575,"2,213,831","4,092,223","540,985 ",Asia,3,"1,740",0,,,"40,175",2023-02-28
121,Ghana,"171,172",,"1,462                                ",,"169,697",,13,2,"5,284",45,"2,529,956","78,096","32,395,450 ",Africa,189,"22,158",13,,,0.4,2023-02-28
122,Namibia,"171,156",+35,"4,090                                ",,"166,776",+87,290,,"64,983","1,553","1,062,663","403,460","2,633,874 ",Africa,15,644,2,13,,110,2023-02-28
123,Uganda,"170,504",,"3,630                                ",,"100,431",,"66,443",3,"3,520",75,"3,012,408","62,198","48,432,863 ",Africa,284,"13,342",16,,,"1,372",2023-02-28
124,Jamaica,"154,196",,"3,502                                ",,"102,393",,"48,301",,"51,655","1,173","1,183,986","396,633","2,985,094 ",North America,19,852,3,,,"16,181",2023-02-28
125,Cambodia,"138,717",+2,"3,056                                ",,"135,656",+4,5,,"8,080",178,"3,091,420","180,062","17,168,639 ",Asia,124,"5,618",6,0.1,,0.3,2023-02-28
126,Rwanda,"133,180",,"1,468                                ",,"131,634",,78,,"9,792",108,"6,021,981","442,778","13,600,464 ",Africa,102,"9,265",2,,,6,2023-02-28
127,Cameroon,"124,392",,"1,965                                ",,"122,344",,83,13,"4,457",70,"1,751,774","62,762","27,911,548 ",Africa,224,"14,204",16,,,3,2023-02-28
128,Malta,"117,477",,827                                ,,"116,028",,622,4,"264,568","1,862","2,117,102","4,767,893","444,033 ",Europe,4,537,0,,,"1,401",2023-02-28
129,Barbados,"106,645",,575                                ,,"106,057",,13,,"370,266","1,996","794,426","2,758,203","288,023 ",North America,3,501,0,,,45,2023-02-28
130,Angola,"105,255",,"1,933                                ",,"103,298",,24,,"3,005",55,"1,499,795","42,818","35,027,343 ",Africa,333,"18,121",23,,,0.7,2023-02-28
131,Channel Islands,"101,382",+62,227                                ,,"101,029",+54,126,,"574,523","1,286","1,252,808","7,099,551","176,463 ",Europe,2,777,0,351,,714,2023-02-28
132,French Guiana,"98,041",,420                                ,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169 ",South America,3,748,0,,,"274,906",2023-02-28
133,DRC,"95,646",,"1,464                                ",,"84,282",,"9,900",,"1,004",15,"846,704","8,890","95,240,792 ",Africa,996,"65,055",112,,,104,2023-02-28
134,Senegal,"88,917",,"1,971                                ",,"86,938",,8,,"5,037",112,"1,146,543","64,946","17,653,671 ",Africa,199,"8,957",15,,,0.5,2023-02-28
135,Malawi,"88,681",,"2,686                                ",,"85,542",,453,67,"4,394",133,"624,784","30,959","20,180,839 ",Africa,228,"7,513",32,,,22,2023-02-28
136,Ivory Coast,"88,197",+12,834                                ,,"87,327",+14,36,,"3,179",30,"1,679,087","60,524","27,742,298 ",Africa,315,"33,264",17,0.4,,1,2023-02-28
137,Suriname,"82,227",,"1,400                                ",,N/A,N/A,N/A,,"137,773","2,346","240,907","403,644","596,831 ",South America,7,426,2,,,"52,112",2023-02-28
138,New Caledonia,"79,881",+5,314                                ,,"79,558",+1,9,9,"274,585","1,079","98,964","340,182","290,915 ",Australia/Oceania,4,926,3,17,,31,2023-02-28
